Factory,FGSKUCode,ASSEMB_ITEM_DESC,ASSEMB_UOM,COMP_ITEM_CODE,COMP_DESC,COMP_UOM,COMP_QTY,Packing flag,retain_flag_BOM,BOM_version
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,2011104429.0,TAPE,EA,0.002,1.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,2011995399.0,DSC SPICY CHICKEN MOSAHAB 1500GM ROLL,MTR,3.03,1.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1005102057.0,PALM OIL,KGM,1.628568908230174,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1005102227.0,OLEORESIN CAPSICUM E 081523 CA,KGM,0.007663853685789,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102009.0,TABLE SALT,KGM,0.1257686729045029,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102015.0,PHOSPHATE,KGM,0.0191596342144726,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102017.0,FLOUR,KGM,1.053779881795995,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102020.0,GARLIC POWDER,KGM,0.0431091769825634,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102021.0,GINGER POWDER,KGM,0.0191596342144726,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102046.0,MODIFIED STARCH,KGM,0.2969743303243259,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102196.0,NAT FOOD BREADCRUMB 7042 - 222,KGM,0.6705871975065424,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102226.0,OLEORESIN PAPRIKA E081524 COLO,KGM,0.0071848628304272,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102295.0,DRY ONION POWDER,KGM,0.0498150489576288,0.0,1,BOM-1
NFC,4001972237,AMC DSC BREADED SPICY CHICKEN MOSAHAB 1500GM (8*1*1500GM),CARTON,1006102394.0,GINGER LIQUID,KGM,0.0019159634214472,0.0,1,BOM-1
