Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY
4001379190,CATERING CHICKEN SHAWERMA 5 KG,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001379190,CATERING CHICKEN SHAWERMA 5 KG,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001379190,CATERING CHICKEN SHAWERMA 5 KG,1,CRT,Ingredient,3001371952,CATERING CHICKEN SHAWERMA,KGM,6.24,11.4038054523919,0,6.24
4001379191,CATERING CHICKEN SHAWERMA 10KG,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001379191,CATERING CHICKEN SHAWERMA 10KG,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001379191,CATERING CHICKEN SHAWERMA 10KG,1,CRT,Ingredient,2011114306,CHICKEN FILLET REGULAR & SPICY,EA,1.015,1.51047034654377,0,1.015
4001379191,CATERING CHICKEN SHAWERMA 10KG,1,CRT,Ingredient,3001371952,CATERING CHICKEN SHAWERMA,KGM,12.48,11.4038054523919,0,12.48
4003350320,KUWAIT BEEF MORTADELLA,1,CRT,Ingredient,2011104201,CLIPS 744,EA,6.2,0.0350001633216195,0,6.2
4003350320,KUWAIT BEEF MORTADELLA,1,CRT,Ingredient,2011104338,CHICKEN MORTADELA CRTN,EA,1.015,1.23460318481016,0,1.015
4003350320,KUWAIT BEEF MORTADELLA,1,CRT,Ingredient,2011104401,TAPE,EA,0.02,2.10075696229359,0,0.02
4003350320,KUWAIT BEEF MORTADELLA,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4003350320,KUWAIT BEEF MORTADELLA,1,CRT,Ingredient,2011114288,BEEF MORTDELA KWT PLAIN CASING,EA,3.33,0.799022975112297,0,3.33
4003350320,KUWAIT BEEF MORTADELLA,1,CRT,Ingredient,3001350351,KUWAIT BEEF MORTADELLA,KGM,7.98,0,0,7.98
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104265,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.35,1.02419134036918,0,1.35
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104331,LONGANIZA CARTON,EA,1.015,1.15389574422241,0,1.015
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104405,WIDE TAPE 7.5,EA,0.14,3.40654878300736,0,0.14
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011115005,MEGA OFFER LABEL BAR CODE OMN,EA,6.08,0.055,0,6.08
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011995258,CHICKEN FRANK 3*8 NEW PROMO ROLL,MTR,1.35,0.39,0,1.35
4001971931,AMCKN FRNKSTRKY 6(4PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,3001350199,ALFAKHER FRANK CHICKEN SOYA,KGM,8.94,2.97761745278871,0,8.94
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104265,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.35,1.02419134036918,0,1.35
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104323,BROWN CARTON WITH HOLES,EA,1.015,0.969167429043402,0,1.015
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104405,WIDE TAPE 7.5,EA,0.14,3.40654878300736,0,0.14
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011115004,SPECIAL OFFER LABEL BAR CODE OMN,EA,8.08,0.055,0,8.08
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,2011995258,CHICKEN FRANK 3*8 NEW PROMO ROLL,MTR,1.35,0.39,0,1.35
4001971932,AMCKN FRNKSTRKY 8(3PKX340G)@10%OFF FP OMN,1,CRT,Ingredient,3001350199,ALFAKHER FRANK CHICKEN SOYA,KGM,8.94,2.97761745278871,0,8.94
4001971921,CRAVES PREMIUM ANGUS BEEF BURGER 18X450G QAT,1,CRT,Ingredient,2011104250,PLAIN ROLL 53 CM * 1000 MT,MTR,4.25,0.210178781720532,0,4.25
4001971921,CRAVES PREMIUM ANGUS BEEF BURGER 18X450G QAT,1,CRT,Ingredient,2011104304,SHISH KEBAB AMERICANA CARTON,EA,1.015,1.33793288425331,0,1.015
4001971921,CRAVES PREMIUM ANGUS BEEF BURGER 18X450G QAT,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001971921,CRAVES PREMIUM ANGUS BEEF BURGER 18X450G QAT,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001971921,CRAVES PREMIUM ANGUS BEEF BURGER 18X450G QAT,1,CRT,Ingredient,3001310179,ANGUS BEEF BURGER,KGM,8.39,13.4691138944659,0,8.39
4001971922,CRAVES PREMIUM BEEF HOT DOG 20X450G QAT,1,CRT,Ingredient,2011104265,BOTTOM FILM 350MX46CX150M ROLL,MTR,1.4,1.02419134036918,0,1.4
4001971922,CRAVES PREMIUM BEEF HOT DOG 20X450G QAT,1,CRT,Ingredient,2011104266,44*600*90 MICRO MILKY TOP FILM,MTR,1.4,0.901136797526425,0,1.4
4001971922,CRAVES PREMIUM BEEF HOT DOG 20X450G QAT,1,CRT,Ingredient,2011104323,BROWN CARTON WITH HOLES,EA,1.015,0.969167429043402,0,1.015
4001971922,CRAVES PREMIUM BEEF HOT DOG 20X450G QAT,1,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002
4001971922,CRAVES PREMIUM BEEF HOT DOG 20X450G QAT,1,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0,0,0.0002
4001971922,CRAVES PREMIUM BEEF HOT DOG 20X450G QAT,1,CRT,Ingredient,3001351074,BEEF HOTDOG,KGM,10.8523,9.95450643393616,0,10.8523
4001971923,CRAVES PREMIUM CHICKEN BURGER 18X500G (FILLET) QAT,1,CRT,Ingredient,2011104250,PLAIN ROLL 53 CM * 1000 MT,MTR,4.25,0.210178781720532,0,4.25
4001971923,CRAVES PREMIUM CHICKEN BURGER 18X500G (FILLET) QAT,1,CRT,Ingredient,2011104304,SHISH KEBAB AMERICANA CARTON,EA,1.015,1.33793288425331,0,1.015
