FACTCode,COMP_ITEM_CODE,RM Cost,retain_flag
GFC,2012106251.0,0.009649909492978292,12
GFC,2012114003.0,0.08413886997957791,12
GFC,2012114264.0,0.1255275697334525,12
GFC,2012114289.0,0.17016031886739588,12
GFC,2012114290.0,0.1777150178461324,12
GFC,2012114291.0,0.13090078710552483,12
GFC,2012114292.0,0.13662868824779117,12
GFC,2012114306.0,0.47364378385716205,12
GFC,2012114308.0,0.5905839221286313,12
GFC,2012114488.0,0.7069118265486726,12
GFC,2012114496.0,0.13892927724379908,12
GFC,2012114588.0,0.7873842437778743,12
GFC,2012114601.0,0.09072116623308173,12
GFC,2012114604.0,0.09039477754327661,12
GFC,2012114605.0,0.08633344949879244,12
GFC,2012114607.0,0.09955301213057366,12
GFC,2012114608.0,0.08859512495481364,12
GFC,2012114618.0,0.15,12
GFC,2012114620.0,0.15,12
GFC,2012114624.0,0.0872222165501777,12
GFC,2012114625.0,0.08105982108362077,12
GFC,2012114626.0,0.09416255215352214,12
GFC,2012114629.0,0.11876456052701033,12
GFC,2012114657.0,0.0815363349213029,12
GFC,2012114658.0,0.014985595025957458,12
GFC,2012114662.0,0.09589397219729275,12
GFC,2012114663.0,0.09465388669519074,12
GFC,2012114666.0,0.12069428980369645,12
GFC,2012114667.0,0.12013641021421728,12
GFC,2012114801.0,0.03766674174170475,12
GFC,2012114802.0,0.050999999999999955,12
GFC,2012114901.0,0.12999583123385702,12
GFC,2012114902.0,0.12996703784224423,12
GFC,2012114903.0,0.125177351066739,12
GFC,2012114904.0,0.1261241215774228,12
GFC,2012114905.0,0.13678821149658435,12
GFC,2012114907.0,0.12571584461346452,12
GFC,2012114915.0,0.13080487962811407,12
GFC,2012114935.0,0.1302538315802624,12
GFC,2012114936.0,0.14050924234396417,12
GFC,2012114938.0,0.12298331077907766,12
GFC,2012114939.0,0.12296841594656338,12
GFC,2012114942.0,0.21154833224448444,12
GFC,2012114954.0,0.112328521478348,12
GFC,2012114962.0,0.13453376664935635,12
GFC,2012115025.0,0.16721487686310077,12
GFC,2012115026.0,0.09050092986901875,12
GFC,2012115028.0,0.11975637914391646,12
GFC,2012115030.0,0.10283910684174613,12
GFC,2012115032.0,0.11954694355292601,12
GFC,2012995239.0,0.1176220168822328,12
GFC,2012995240.0,0.12427480499162863,12
GFC,2012995248.0,0.12648383339757016,12
GFC,2012995249.0,0.1276109125884904,12
GFC,2012995287.0,0.1265737859279669,12
GFC,2012995288.0,0.1310626838744807,12
GFC,2012995291.0,0.14703624808794172,12
GFC,2012995292.0,0.1470388019060585,12
GFC,2012995336.0,0.03812117086453364,12
GFC,2012995343.0,0.3403675970047651,12
GFC,2012995344.0,0.12770592239618783,12
GFC,2012995350.0,0.19332879509870657,12
KFC,1001101002.0,3.608268682831906,12
KFC,1001101007.0,2.6835445342319324,12
KFC,1001101103.0,2.3254443760788446,12
KFC,1001101104.0,4.936959974706872,12
KFC,1001101108.0,2.9543037935538,12
KFC,1001101111.0,0.8434842932758323,12
KFC,1001101112.0,4.527619525996333,12
KFC,1001101121.0,2.759746696500718,12
KFC,1001101127.0,2.628436335521176,12
KFC,1001102000.0,5.07020057106058,12
KFC,1001102001.0,3.908759971837783,12
KFC,1001102080.0,8.347308235073772,12
