Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM,FactCode,Packing flag
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102559,WATER,KGM,180.0,0.0104851074691908,0,180.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102008,Soya Protein TVP,KGM,120.0,3.45030087310618,0,120.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1001103024,Frozen Whole Onion,KGM,180.0,2.7,0,180.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1001101102,BEEF BODY FAT,KGM,50.0,4.35173609807417,0,50.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,130.0,9.55126225285403,0,130.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1001101002,BRAZILIAN BEEF FOREQUARTER,KGM,170.0,14.2041411538684,0,170.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,1006102011,WHITE PEPPER,KGM,0.45,30.0085873282975,0,0.45,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,0
3001310168,ROYAL BURGER - IRAQ,858.4,KGM,Ingredient,2011104111,PLAIN WIMPY BAG 90*60 CM,EA,12.0,0.540041222880608,0,12.0,1.0,4001310160,BEEF BURGER ARABIC SPICES (10*20*50G),CRT,NFC,1
4001310161,BEEF BURGER 8PCS (18*8*56GM),1.0,CRT,Ingredient,2011104202,"FORMAX PAPER 4.1/4* 4,1/2",EA,14.78,0.190531858203547,0,14.78,0.0,4001310161,BEEF BURGER 8PCS (18*8*56GM),CRT,NFC,1
4001310161,BEEF BURGER 8PCS (18*8*56GM),1.0,CRT,Ingredient,2011104324,BROWN CARTON 235*250*350,EA,1.015,0.973408550024448,0,1.015,0.0,4001310161,BEEF BURGER 8PCS (18*8*56GM),CRT,NFC,1
