,Item Code,Description,Qty,UOM,Line Type,Ingredient,Description.1,UOM.1,Qty.1,Unit Cost,Scrap Factor%,Require QTY,Sort Order,Primary Item Code,Original Description,Original UOM,FactCode,Packing flag,Flag
14088,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1001103024,Frozen Whole Onion,KGM,2.0757,0.276506448257992,0,2.0757,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14089,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,1001101007,BRAZILIAN BEEF TRIMMING,KGM,6.9412,0.716745715837588,0,6.9412,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,0,False
14090,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013119000,KOFTA AMERICANA CARTON,EA,1.0,0.201674501172696,0,1.0,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
14091,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2013310429,SELOTAP 1500 YARD,MTR,1.49,0.0015922816699607,0,1.49,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,KFC,1,False
633,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2011104201,CLIPS 744,EA,15.3,0.0350001633216195,0,15.3,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,NFC,1,False
634,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2011104202,"FORMAX PAPER 4.1/4* 4,1/2",EA,15.3,0.190531858203547,0,15.3,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,NFC,1,False
635,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2011104301,LARGE CARTON AMERICANA,EA,1.015,2.03308961362761,0,1.015,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,NFC,1,False
636,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2011104429,TAPE,EA,0.002,21.2406359669138,0,0.002,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,NFC,1,False
637,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2011104598,DOMINO IK-901BKS-1 - INK,EA,0.0002,0.0,0,0.0002,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,NFC,1,False
638,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),1.0,CRT,Ingredient,2011114825,BBQ BEEF GRILLED BURGER BAG,EA,15.3,0.201783784920787,0,15.3,0.0,4001100156,JUMBO BBQ BEEF BURGER 10PCS (15*10*100GM),CRT,NFC,1,False
